smiles,zinc_id,minimal_disttoref,consensus_sars,tox_counts,ct_tox
CNC(=S)NN=Cc1c2ccccc2c(Cl)c2ccccc12,ZINC000254565785,0.545455,0.824397,8,0.055071
C=C(Cl)COc1ccc(C(C)=NNC(=S)NCCc2ccccn2)cc1,ZINC000726422572,0.533333,0.823181,7,0.050832
CNC(=S)NN=Cc1cc2cccc(C)c2nc1Cl,ZINC000916265995,0.611111,0.823011,5,0.083379
N#CCCn1cc(C=NNC(=S)NCCc2ccc(Cl)cc2)c2ccccc21,ZINC000916356873,0.637681,0.822086,17,0.069126
O=c1c(Br)nn(Cc2cnc3ccccc3c2)c2ccccc12,ZINC000806591744,0.725806,0.821512,11,0.162365
O=c1c(Br)nn(Cc2nc3ccccc3s2)c2ccccc12,ZINC000178971373,0.728814,0.821144,8,0.051236
CSC(=S)N/N=C/c1ccc2cc3ccccc3cc2c1,ZINC000000155607,0.390244,0.820410,4,0.051613
C=CCNC(=S)NNC(=O)Cn1c(COc2ccc(Cl)cc2)nc2ccccc21,ZINC000016317677,0.700000,0.819735,4,0.074155
O=C(Cn1cccc(Br)c1=O)c1ccc2ccccc2c1,ZINC000193073749,0.666667,0.819677,1,0.126887
O=c1c(Br)nn(Cc2ccc3ncccc3c2)c2ccccc12,ZINC000769846795,0.694915,0.819455,9,0.141159
CN(N=Cc1nc2ccccn2c1Br)C(=S)NCc1ccccc1,ZINC000755523869,0.645161,0.819414,4,0.051626
C=CCNC(=S)NN=Cc1nc2ccc(Cl)cc2n1C,ZINC000763345954,0.650794,0.819376,5,0.066425
CSC(=S)N/N=C/c1nc(-c2ccc(Cl)cc2)n2ccccc12,ZINC000001448699,0.686567,0.819243,4,0.126218
C/C(=N\NC(=S)NNC(=S)N(C)c1ccccc1)c1nccc2ccccc12,ZINC000016940508,0.672131,0.819052,11,0.062673
C/C(=N/NC(=S)NNC(=S)N(C)c1ccccc1)c1nccc2ccccc12,ZINC000005486767,0.672131,0.819052,11,0.062673
CSC(=S)N/N=C/c1ccc2ccccc2n1,ZINC000005527649,0.632653,0.818750,6,0.050673
C=CCNC(=S)NN=Cc1nc2cc(Cl)ccc2n1C,ZINC000755497029,0.671875,0.818581,5,0.058686
FC(F)(F)CNC(=S)NN=Cc1cn(Cc2ccccc2)c2ccccc12,ZINC000746495682,0.568966,0.818560,15,0.070745
CN(/N=C/c1ccc(Cl)cc1)C(=S)c1ccccc1,ZINC000005719506,0.681818,0.817847,4,0.052798
S=C(NCc1ccccc1)N/N=C/c1cn(CCOc2ccc(Br)cc2)c2ccccc12,ZINC000002149503,0.562500,0.817546,13,0.211435
Cn1cnc2cc(C=NNC(=S)NCCc3ccc(Cl)cc3)ccc21,ZINC000761254906,0.578125,0.817488,9,0.053282
C=CCNC(=S)N/N=C/c1cn(Cc2ccc(Cl)cc2Cl)c2ccccc12,ZINC000004083385,0.652174,0.816716,22,0.096108
S=C(NCc1ccccc1)NN=Cc1nc2ccccn2c1Br,ZINC000755504947,0.481481,0.816448,5,0.054980
S=C(N/N=C\c1c2ccccc2cc2ccccc12)c1ccccc1,ZINC000005602272,0.315789,0.816238,7,0.089632
S=C(NCCc1ccccn1)NN=C[C@H]1CC1(Cl)Cl,ZINC000853299686,0.625000,0.816217,4,0.050984
CSC(=S)N/N=C(\C)c1ccc2cc3ccccc3cc2c1,ZINC000005282582,0.574074,0.816198,3,0.051833
CSC(=S)N/N=C(/C)c1ccc2cc3ccccc3cc2c1,ZINC000006691628,0.574074,0.816198,3,0.051833
O=c1c(Br)nn(Cc2cccc3ncccc23)c2ccccc12,ZINC001651892006,0.666667,0.816094,11,0.119549
CSC(=S)NN=C(c1ccccc1)c1ccccc1,ZINC000006425103,0.622222,0.815893,2,0.050223
CSCCNC(=S)NN=Cc1ccc(Cl)c2cccnc12,ZINC000769605592,0.612903,0.815886,8,0.056051
O=C(NC(=S)NNc1ccccc1)c1cccc2c(Cl)cccc12,ZINC000014257603,0.555556,0.815801,2,0.055709
